Block No.,Category,Block name,Operator,Block area (km2),Barrels produced 2015,Barrels produced 2016,Inferred annual barrels
7,Active,Coca-Payamino,Petroamazonas EP,1992.817336,13538251,11767315.07,
10,Active,Villano,Agip Oil Ecuador B.V.,1988.510502,4123349,3897273,
11,Depleted,Lumbaqui,Petroamazonas EP,2006.766988,0,0,
12,Active,Eden-Yuturi,Petroamazonas EP,1811.514775,13018953,14399790,
14,Active,Nantu,Petrooriental S.A.,2010.798638,1328551,1181512,
15,Active,Indillana,Petroamazonas EP,1510.735477,10888225,9566401.78,
16,Active,Iro,Repsol Ecuador S.A.,1326.466085,8924103,7867805,
17,Active,Hormiguero,Petrooriental S.A.,1861.832784,2546449,2264615,
18,Active,Palo Azul,Petroamazonas EP,1141.374855,5534891,4136861.21,
20,Complex reserves,20 (Pungarayacu),-,1090.608927,0,0,21900000
21,Active,Yuralpa,Petroamazonas EP,1604.235427,2282716,20703442.25,
22,Southern unexploited,22,-,1753.513893,0,0,912954.239
28,Southern unexploited,Bloque 28,PAM-ENAP-BEL,1753.074262,0,0,912725.3479
29,Southern unexploited,29,-,1684.858658,0,0,877209.3908
31,Active,Apaika-Nenke,Petroamazonas EP,2015.529971,2531614,6111481.72,
43,Growing,ITT,Petroamazonas EP,1935.287549,0,3058743.75,83500000
44,Active,Pucuna,Petroamazonas EP,71.38049232,770261,720820.21,
45,Active,Puma,Consorcio Pegaso,168.6655402,288756,241252,
46,Active,MDC,Enap Sipetrol S.A.,61.27421248,3145898,3242796,
47,Active,PBHI,Enap Sipetrol S.A.,390.6417015,1482527,1528189,
48,Depleted,Punino,Petroamazonas EP,239.4284276,0,0,
49,Active,Bermejo,Tecpecuador S.A.,638.9796569,983221,892301,
50,Active,Charapa,Petroamazonas EP,244.5287831,0,295115,
51,Depleted,Chanangue,Petroamazonas EP,27.03973859,0,0,
52,Active,Ocano-Peña Blanca,Orion Energy Ocanopb S.A.,83.24991719,361293,868237,
53,Active,Singue,Gente Oil Ecuador Pte. Ltd.,34.67583973,2161458,1668248,
54,Active,Eno-Ron,Orion Oil ER S.A.,136.840951,902277,1515718,
55,Active,Armadillo,Petroamazonas EP,147.6198736,136428,81509.19,
56,Active,Lago Agrio,Petroamazonas EP,836.7042734,1770519,1405832.88,
57,Active,Shushufindi Libertador,Petroamazonas EP,1550.913788,41175362,42641449.43,
58,Active,Cuyabeno-Tipishca,Petroamazonas EP,1740.327104,9429650,9634923.53,
59,Active,Vinita,Petroamazonas EP,1384.528016,234943,228967.87,
60,Active,Sasha,Operationes Rio Napo CEM,356.9859078,27029894,26505574.03,
61,Active,Auca,Petroamazonas EP,786.353916,25978398,24754598.86,
62,Active,Tarapoa,Andes Petroleum Ecuador Ltd.,1052.919613,12077940,12662520,
64,Active,Palanda-Yuca Sur,Consorcio Palanda-Yuca Sur,141.1434332,968457,775999,
65,Active,Pindo,Consorcio Petrosud-Petroriva,68.30382337,1657363,1442574,
66,Active,Tiguino,Petrobell Inc.,250.9832339,889913,868346,
67,Active,Tivacuno,Repsol Ecuador S.A.,70.42693694,1444999,1273959,
70,Southern unexploited,70,Secretaria de Hidrocarburos,1800.607311,0,0,937473.0842
71,Southern unexploited,71,Secretaria de Hidrocarburos,1854.247448,0,0,965400.4305
72,Southern unexploited,72,Secretaria de Hidrocarburos,1875.518379,0,0,976474.9862
73,Southern unexploited,73,Secretaria de Hidrocarburos,1979.636617,0,0,1030683.388
74,Southern unexploited,Bloque 74,Secretaria de Hidrocarburos,1754.13908,0,0,913279.7381
75,Southern unexploited,Bloque 75,Secretaria de Hidrocarburos,1954.24425,0,0,1017463.037
76,Southern unexploited,76,Secretaria de Hidrocarburos,1954.511798,0,0,1017602.335
77,Southern unexploited,77,Secretaria de Hidrocarburos,1992.353783,0,0,1037304.488
78,Southern unexploited,78,Secretaria de Hidrocarburos,1452.834818,0,0,756407.8682
79,Southern unexploited,Bloque 79,Andes Petroleum Ecuador Ltd.,1580.664991,0,0,822961.7168
80,Southern unexploited,80,Secretaria de Hidrocarburos,1556.578973,0,0,810421.5069
81,Southern unexploited,81,Secretaria de Hidrocarburos,1305.285403,0,0,679587.3394
82,Southern unexploited,82,Secretaria de Hidrocarburos,1563.985072,0,0,814277.4386
83,Southern unexploited,Bloque 83,Andes Petroleum Ecuador Ltd.,1469.276798,0,0,764968.2654
84,Southern unexploited,84,Secretaria de Hidrocarburos,1701.227273,0,0,885731.591
85,Southern unexploited,85,Secretaria de Hidrocarburos,1310.01401,0,0,682049.2546
86,Southern unexploited,86,Secretaria de Hidrocarburos,1605.85512,0,0,836076.7741
87,Southern unexploited,87,Secretaria de Hidrocarburos,1534.541351,0,0,798947.7795
101,Non-oil,Tivacuno Surround,Excluded Area,253.3388059,0,0,
102,Non-oil,Yasuni Untouchable Area,Protected Area Exclusion,8718.258815,0,0,
103,Non-oil,Cuyabeno Area,Protected Area Exclusion,4758.849656,0,0,
104,Non-oil,Sumaco Napo-Galeras National Park area,Protected Area Exclusion,267.949836,0,0,
